"Location (city, country)",Latitude,Longitude,Question,Ground Truth Answer,Difficulty,Street View URL
"Savannah, GA",32.0809,-81.0912,What type of moss hangs from the oak trees in the historic district?,Spanish moss,HARD,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.0809,-81.0912"
"Paris, France",48.8606,2.3376,How many glass pyramids are visible in this courtyard from ground level?,4,HARD,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=48.8606,2.3376"
"London, UK",51.5055,-0.0754,What two colors are the towers of this bridge painted?,Blue and white,HARD,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=51.5055,-0.0754"
"Barcelona, Spain",41.4036,2.1744,How many completed tall spire towers does this large church have?,8,HARD,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=41.4036,2.1744"
"Rome, Italy",41.8902,12.4922,How many exterior tiers/levels does this ancient amphitheater have?,3,HARD,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=41.8902,12.4922"
"Amsterdam, Netherlands",52.3676,4.9041,What is the primary brick color of the traditional canal houses?,Red,HARD,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=52.3676,4.9041"
"Athens, Greece",37.9715,23.7266,What is the name of the ancient temple structure at the top of this hill?,Parthenon,HARD,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.9715,23.7266"
"Istanbul, Turkey",41.0055,28.9769,How many tall towers (minarets) does this mosque have?,6,HARD,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=41.0055,28.9769"
"Moscow, Russia",55.7539,37.6208,What is the name of the colorful cathedral with distinctive onion-shaped domes?,St. Basil's Cathedral,HARD,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=55.7539,37.6208"
"Llanfairpwll, Wales",53.2236,-4.1981,How many letters are in the full name of this railway station?,58,HARD,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=53.2236,-4.1981"
"Rovaniemi, Finland",66.5432,25.8467,What geographic line does the white line painted on the ground represent?,Arctic Circle,HARD,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=66.5432,25.8467"
"Swindon, UK",51.5628,-1.7715,How many mini-roundabouts make up this unusual junction?,5,HARD,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=51.5628,-1.7715"
"Berlin, Germany",52.5163,13.3777,What is the name of the large neoclassical gate monument with columns visible here?,Brandenburg Gate,HARD,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=52.5163,13.3777"
"Prague, Czech Republic",50.0865,14.4114,How many towers does this historic bridge have?,3,HARD,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.0865,14.4114"
"Vienna, Austria",48.2085,16.3738,What color pattern does the roof of this large cathedral have?,Multicolored/Tiled,HARD,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=48.2085,16.3738"
"Venice, Italy",45.4341,12.3388,What is the name of this famous square (piazza) with the ornate basilica?,Piazza San Marco,HARD,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=45.4341,12.3388"
"Dublin, Ireland",53.3445,-6.2673,What architectural style are the Georgian buildings known for?,Georgian,HARD,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=53.3445,-6.2673"
"Copenhagen, Denmark",55.6795,12.5892,What small statue sits on the rocks in the harbor?,Little Mermaid,HARD,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=55.6795,12.5892"
"Brussels, Belgium",50.8467,4.3525,What is the name of the small boy statue fountain?,Manneken Pis,HARD,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.8467,4.3525"
"Tokyo, Japan",35.6598,139.7006,How many crosswalks converge at this busy intersection?,5,HARD,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.6598,139.7006"
"Dubai, UAE",25.1972,55.2744,Does the extremely tall skyscraper visible here taper (get narrower) as it rises? Answer Yes or No.,Yes,HARD,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=25.1972,55.2744"
Singapore,1.2868,103.8545,What mythical creature with a lion's head and fish body is at the waterfront?,Merlion,HARD,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=1.2868,103.8545"
"Bangkok, Thailand",13.75,100.4915,What color is the ornate palace/temple complex predominantly?,Gold,HARD,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=13.75,100.4915"
Hong Kong,22.2793,114.1628,What is the name of this peak offering panoramic views of the city?,Victoria Peak,HARD,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=22.2793,114.1628"
"Shanghai, China",31.2397,121.4993,What is the name of the futuristic TV tower with distinctive spheres visible here?,Oriental Pearl Tower,HARD,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.2397,121.4993"
"Seoul, South Korea",37.5795,126.977,What is the name of this large royal palace with traditional buildings?,Gyeongbokgung Palace,HARD,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.5795,126.977"
"Mumbai, India",18.922,72.8347,What is the name of this large stone arch monument on the waterfront?,Gateway of India,HARD,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=18.922,72.8347"
"Kyoto, Japan",35.0117,135.7681,What color are the thousands of traditional gates (torii) visible here?,Red/Orange,HARD,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.0117,135.7681"
"Taipei, Taiwan",25.033,121.5654,How many sections does this tall skyscraper have stacked vertically?,8,HARD,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=25.033,121.5654"
"Kuala Lumpur, Malaysia",3.1579,101.7116,How many towers make up the Petronas Towers?,2,HARD,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=3.1579,101.7116"
"Jakarta, Indonesia",-6.1751,106.865,What is the name of the tall monument visible in the center?,National Monument,HARD,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-6.1751,106.865"
"Hanoi, Vietnam",21.0285,105.8542,What color is the bridge crossing this lake?,Red,HARD,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=21.0285,105.8542"
"Delhi, India",28.6562,77.241,What is the name of this large red fort?,Red Fort,HARD,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=28.6562,77.241"
"Manila, Philippines",14.5932,120.9825,What is the name of the historic walled city district?,Intramuros,HARD,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=14.5932,120.9825"
"Grand Canyon, AZ, USA",36.0544,-112.1401,What river carved this canyon?,Colorado River,MEDIUM,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=36.0544,-112.1401"
"Yellowstone, WY, USA",44.428,-110.5885,What is the name of the geyser that erupts regularly at this location?,Old Faithful,MEDIUM,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=44.428,-110.5885"
"Yosemite, CA, USA",37.7459,-119.5332,What is the name of this massive vertical rock formation?,El Capitan,MEDIUM,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.7459,-119.5332"
"Mount Rushmore, SD, USA",43.8791,-103.4591,How many faces are carved into this mountain?,4,MEDIUM,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=43.8791,-103.4591"
"Statue of Liberty, NY, USA",40.6892,-74.0445,What is this statue holding in her right hand raised above her head?,Torch,MEDIUM,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=40.6892,-74.0445"
"Niagara Falls, NY/Canada",43.0828,-79.0742,How many major waterfalls make up Niagara Falls?,3,MEDIUM,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=43.0828,-79.0742"
"Arches National Park, UT, USA",38.7331,-109.5925,What is the name of the most photographed natural arch visible here?,Delicate Arch,MEDIUM,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.7331,-109.5925"
"Golden Gate Bridge, CA, USA",37.8199,-122.4783,What color is this suspension bridge?,Orange,MEDIUM,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.8199,-122.4783"
"Devils Tower, WY, USA",44.5902,-104.7151,What type of geological formation is this distinctive rock formation?,Butte,MEDIUM,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=44.5902,-104.7151"
"Dunedin, New Zealand",-45.874,170.5036,What is the name of this city in New Zealand?,Dunedin,EASY,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-45.874,170.5036"
"Durham, NC, USA",35.9992,-78.91,What is the clearance height posted on the bridge ahead in feet and inches?,12 feet 4 inches,EASY,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.9992,-78.91"
"Maryville, TN, USA",35.7521,-83.9643,What educational institution are you located at?,Maryville College,EASY,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.7521,-83.9643"
"Tromsø, Norway",69.6492,18.9553,What city in Norway are you in?,Tromsø,EASY,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=69.6492,18.9553"
"Ushuaia, Argentina",-54.8019,-68.303,What is the name of the southernmost city in the world you're standing in?,Ushuaia,EASY,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-54.8019,-68.303"
"Longyearbyen, Svalbard",78.2232,15.6267,What town are you located in?,Longyearbyen,EASY,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=78.2232,15.6267"
"Alice Springs, Australia",-23.698,133.8807,What town are you in?,Alice Springs,EASY,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-23.698,133.8807"
"Reykjavik, Iceland",64.1466,-21.9426,What city are you in?,Reykjavik,EASY,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=64.1466,-21.9426"
"Christchurch, New Zealand",-43.5321,172.6362,What city are you in?,Christchurch,EASY,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-43.5321,172.6362"
"Iquitos, Peru",-3.7437,-73.2516,What city are you located in?,Iquitos,EASY,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-3.7437,-73.2516"
"Nuuk, Greenland",64.1814,-51.6941,What is the capital of the country you are in?,Nuuk,EASY,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=64.1814,-51.6941"
"Anchorage, Alaska, USA",61.2181,-149.9003,What city are you in?,Anchorage,EASY,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=61.2181,-149.9003"
"Fairbanks, Alaska, USA",64.8378,-147.7164,What city are you in?,Fairbanks,EASY,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=64.8378,-147.7164"
"Bozeman, Montana, USA",45.677,-111.0429,What city are you in?,Bozeman,EASY,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=45.677,-111.0429"
"Fargo, North Dakota, USA",46.8772,-96.7898,Where are you?,Fargo,EASY,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=46.8772,-96.7898"
"Burlington, Vermont, USA",44.4759,-73.2121,Where are you?,Burlington,EASY,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=44.4759,-73.2121"
"Bilbao, Spain",43.263,-2.935,Where are you?,Bilbao,EASY,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=43.263,-2.935"
"Porto, Portugal",41.1579,-8.6291,What city are you located in?,Porto,EASY,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=41.1579,-8.6291"
"Krakow, Poland",50.0647,19.945,Where are you?,Krakow,EASY,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.0647,19.945"
"Tallinn, Estonia",59.437,24.7536,Where are you?,Tallinn,EASY,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=59.437,24.7536"
"Riga, Latvia",56.9496,24.1052,Where are you?,Riga,EASY,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=56.9496,24.1052"
"Vilnius, Lithuania",54.6872,25.2797,Where are you?,Vilnius,EASY,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=54.6872,25.2797"
"Ljubljana, Slovenia",46.0569,14.5058,Where are you?,Ljubljana,EASY,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=46.0569,14.5058"
"Dubrovnik, Croatia",42.6507,18.0944,Where are you?,Dubrovnik,EASY,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=42.6507,18.0944"
"Sarajevo, Bosnia",43.8563,18.4131,Where are you?,Sarajevo,EASY,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=43.8563,18.4131"
"Tbilisi, Georgia",41.7151,44.8271,Where are you?,Tbilisi,EASY,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=41.7151,44.8271"
"Kathmandu, Nepal",27.7172,85.324,Where are you?,Kathmandu,EASY,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=27.7172,85.324"
"Ulaanbaatar, Mongolia",47.8864,106.9057,Where are you?,Ulaanbaatar,EASY,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=47.8864,106.9057"
"Quito, Ecuador",-0.1807,-78.4678,Where are you?,Quito,EASY,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-0.1807,-78.4678"
"La Paz, Bolivia",-16.5,-68.15,Where are you?,La Paz,EASY,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-16.5,-68.15"
